"name","spectrum_id","feature_idx","precursor_mz","precursor_rt","n_peaks","ID","feature_name","feature_mz","feature_rt","in_top_500","rank","label","full_label","display_label","cluster","size"
"790","feat_358_spec_5",358,182.03205,5.615,23,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S5","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",2,7.74509803921569
"791","feat_358_spec_6",358,182.03205,5.615,18,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S6","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",71,7.05882352941176
"792","feat_358_spec_7",358,182.03205,5.615,23,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S7","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",2,7.74509803921569
"793","feat_358_spec_8",358,182.03205,5.615,13,171,"[Similar to: NP-003800; ΔMass: -14.0659 Da]",182.03205,5.615,TRUE,82,"F358_S8","[Similar to: NP-003800; ΔMass: -14.0659 Da]
182.03 m/z @ 5.62 min
Rank: 82","[Similar to: NP-003800; ΔMass: -14.0659 Da]",71,6.37254901960784
"794","feat_359_spec_1",359,182.03204,5.197,30,157,NA,182.03204,5.197,TRUE,46,"F359_S1","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",2,8.70588235294118
"795","feat_359_spec_2",359,182.03204,5.197,23,157,NA,182.03204,5.197,TRUE,46,"F359_S2","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",71,7.74509803921569
"796","feat_359_spec_3",359,182.03204,5.197,22,157,NA,182.03204,5.197,TRUE,46,"F359_S3","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",2,7.6078431372549
"797","feat_359_spec_4",359,182.03204,5.197,15,157,NA,182.03204,5.197,TRUE,46,"F359_S4","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",71,6.64705882352941
"798","feat_359_spec_5",359,182.03204,5.197,15,157,NA,182.03204,5.197,TRUE,46,"F359_S5","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",2,6.64705882352941
"800","feat_359_spec_7",359,182.03204,5.197,21,157,NA,182.03204,5.197,TRUE,46,"F359_S7","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",2,7.47058823529412
"801","feat_359_spec_8",359,182.03204,5.197,21,157,NA,182.03204,5.197,TRUE,46,"F359_S8","Feature 359
182.03 m/z @ 5.2 min
Rank: 46","F359",72,7.47058823529412
"802","feat_360_spec_1",360,182.03207,5.299,21,375,NA,182.03207,5.299,FALSE,NA,"F360_S1","Feature 360
182.03 m/z @ 5.3 min",NA,2,4.76470588235294
"803","feat_360_spec_2",360,182.03207,5.299,15,375,NA,182.03207,5.299,FALSE,NA,"F360_S2","Feature 360
182.03 m/z @ 5.3 min",NA,71,4.17647058823529
"804","feat_360_spec_3",360,182.03207,5.299,21,375,NA,182.03207,5.299,FALSE,NA,"F360_S3","Feature 360
182.03 m/z @ 5.3 min",NA,2,4.76470588235294
"805","feat_360_spec_4",360,182.03207,5.299,21,375,NA,182.03207,5.299,FALSE,NA,"F360_S4","Feature 360
182.03 m/z @ 5.3 min",NA,72,4.76470588235294
"806","feat_361_spec_1",361,182.03209,5.827,22,760,"[Similar to: NP-003800; ΔMass: -14.0658 Da]",182.03209,5.827,FALSE,NA,"F361_S1","[Similar to: NP-003800; ΔMass: -14.0658 Da]
182.03 m/z @ 5.83 min",NA,2,4.86274509803922
"807","feat_361_spec_2",361,182.03209,5.827,14,760,"[Similar to: NP-003800; ΔMass: -14.0658 Da]",182.03209,5.827,FALSE,NA,"F361_S2","[Similar to: NP-003800; ΔMass: -14.0658 Da]
182.03 m/z @ 5.83 min",NA,71,4.07843137254902
"808","feat_361_spec_3",361,182.03209,5.827,15,760,"[Similar to: NP-003800; ΔMass: -14.0658 Da]",182.03209,5.827,FALSE,NA,"F361_S3","[Similar to: NP-003800; ΔMass: -14.0658 Da]
182.03 m/z @ 5.83 min",NA,2,4.17647058823529
"809","feat_361_spec_4",361,182.03209,5.827,11,760,"[Similar to: NP-003800; ΔMass: -14.0658 Da]",182.03209,5.827,FALSE,NA,"F361_S4","[Similar to: NP-003800; ΔMass: -14.0658 Da]
182.03 m/z @ 5.83 min",NA,71,3.7843137254902
"814","feat_364_spec_1",364,242.99117,8.622,22,1711,"3-Phosphonooxypyruvic acid",242.99117,8.622,FALSE,NA,"F364_S1","3-Phosphonooxypyruvic acid
242.99 m/z @ 8.62 min",NA,44,4.86274509803922
